geo_lat,geo_lon,total_meters,price,price_per_meter,color
45.061385349999995,38.944851759746754,50.0,13100000.0,262000.0,#e34933
44.8304302,37.54757752936354,38.1,9719310.0,255100.0,#d62f27
45.087954,38.8954611,35.9,5900000.0,164345.40389972145,#bb1526
45.092429800000005,38.91558351460908,38.4,5000000.0,130208.33333333334,#b50f26
44.9967534,39.02483705,36.21,6630000.0,183098.59154929576,#c01a27
44.8304302,37.54757752936354,44.8,10980480.0,245100.00000000003,#db382b
45.11365335,38.91955579492833,35.0,6230000.0,178000.0,#bd1726
45.0145989,39.0624348,47.4,6400000.0,135021.09704641352,#be1827
45.06364245,38.98331112007163,52.78,9530400.0,180568.39712012126,#d42d27
45.092429800000005,38.91558351460908,33.5,4400000.0,131343.28358208956,#b10b26
45.097302600000006,39.003051423986705,34.29,3900000.0,113735.78302712161,#ad0826
45.02761435,39.0171173,39.2,9803920.0,250099.99999999997,#d62f27
45.092429800000005,38.91558351460908,33.3,4300000.0,129129.12912912914,#af0926
45.009231150000005,38.99609352617677,53.65,8031000.0,149692.45107176143,#ca2427
45.092429800000005,38.91558351460908,33.3,3820000.0,114714.71471471472,#ad0826
44.996288050000004,39.068139524533805,36.3,4200000.0,115702.47933884298,#af0926
45.0576967,38.9893612,37.5,8512500.0,227000.0,#cc2627
45.11133905,38.96001234568713,38.0,5200000.0,136842.1052631579,#b71126
45.0589603,39.11409543188668,33.0,5600000.0,169696.9696969697,#b91326
43.6732594,40.2625799,52.25,16981250.0,325000.0,#f36b42
45.097302600000006,39.003051423986705,37.0,4100000.0,110810.81081081081,#af0926
45.13943565,38.98728586187454,38.0,3900000.0,102631.57894736843,#ad0826
45.104304,39.0613264,38.3,3900000.0,101827.67624020888,#ad0826
45.00068775,39.02824410933573,40.0,5460000.0,136500.0,#b71126
45.06558595,39.03370739992059,33.0,4300000.0,130303.0303030303,#af0926
44.996288050000004,39.068139524533805,35.0,4500000.0,128571.42857142857,#b10b26
45.098635650000006,39.059995,34.0,3450000.0,101470.58823529411,#a90426
45.1050281,39.0608342,38.5,4812500.0,125000.0,#b30d26
44.94406625,38.0250968,55.6,6300000.0,113309.35251798561,#bd1726
45.07276935,39.05167390009619,41.43,6230546.0,150387.30388607288,#bd1726
45.1052476,38.95251582649928,35.4,3950000.0,111581.9209039548,#ad0826
45.0897059,39.026567527672505,41.55,6003975.0,144500.0,#bb1526
43.6732594,40.2625799,49.0,8500000.0,173469.38775510204,#cc2627
45.05313595,39.03769355349996,38.6,6591490.0,170763.9896373057,#be1827
45.0945744,38.9460322075948,38.7,3990000.0,103100.77519379844,#ad0826
45.1137008,38.9268511,36.0,4101460.0,113929.44444444444,#af0926
45.05313595,39.03769355349996,36.6,6368546.0,174003.98907103823,#be1827
45.0723557,39.0356818,35.7,4200000.0,117647.0588235294,#af0926
45.05218475,39.03887260845046,36.8,6909999.0,187771.71195652176,#c21c27
45.0897059,39.026567527672505,36.69,4700000.0,128100.29980921233,#b30d26
45.00068775,39.02824410933573,50.96,6300000.0,123626.37362637362,#bd1726
45.097302600000006,39.003051423986705,31.3,3650000.0,116613.41853035144,#ab0626
44.17558315,40.61856505,32.95,4500000.0,136570.56145675265,#b10b26
45.1050281,39.0608342,37.8,4725000.0,125000.00000000001,#b30d26
44.94406625,38.0250968,37.12,5400000.0,145474.1379310345,#b71126
45.09525,39.0020587,45.9,5350000.0,116557.73420479303,#b71126
43.6732594,40.2625799,42.3,8250000.0,195035.4609929078,#ca2427
