,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
852,Девелопмент-юг,developer,https://krasnodar.cian.ru/sale/flat/294466459/,Краснодар,sale,flat,1,9,1,35.0,5950000,мкр. Калинино, Западный обход,42лит2/4,,Sport Village
853,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195308/,Краснодар,sale,flat,2,16,1,40.95,5917275,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
854,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296258859/,Краснодар,sale,flat,16,16,1,41.5,5996750,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
855,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259061/,Краснодар,sale,flat,13,16,1,41.5,5996750,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
856,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259042/,Краснодар,sale,flat,15,16,1,41.3,5967850,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
857,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280419823/,Краснодар,sale,flat,13,16,1,41.5,5996750,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
858,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280419652/,Краснодар,sale,flat,12,16,1,41.35,5975075,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
859,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299300076/,Краснодар,sale,flat,-1,-1,-1,202.0,5942720,,,,,Южане
860,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299815472/,Краснодар,sale,flat,3,18,1,40.67,5977270,Прикубанский, Петра Феленкова,,,Архитектор
861,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/291325167/,Краснодар,sale,flat,18,24,1,36.38,5996152,Плодородный-2 мкр, Константиновская,5лит6,,Левада
862,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285177150/,Краснодар,sale,flat,8,9,1,34.6,5951200,мкр. Калинино, Западный обход,42лит2/4,,Sport Village
863,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297044610/,Краснодар,sale,flat,1,16,1,47.5,5937500,,,,,Спутник
864,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/270890023/,Краснодар,sale,flat,1,17,1,50.0,5900000,мкр. РИП,Российская ,267к5,,Оникс
865,Юг-Инжиниринг,developer,https://krasnodar.cian.ru/sale/flat/298247686/,Краснодар,sale,flat,2,18,1,43.71,5944560,Догма Парк мкр, Марины Цветаевой,17к2,,Аксиома
866,БАУИНВЕСТ,developer,https://krasnodar.cian.ru/sale/flat/300748141/,Краснодар,sale,flat,18,24,1,36.38,5996152,Плодородный-2 мкр, Константиновская,5лит6,,Левада
867,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301674274/,Краснодар,sale,flat,1,16,1,47.5,5937500,,,,,Спутник
868,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294348628/,Краснодар,sale,flat,7,21,1,41.57,5986080,Прикубанский,бульвар Адмиралтейский,1,,Эстет
869,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294244440/,Краснодар,sale,flat,17,24,1,36.38,5996152,Плодородный-2 мкр, Константиновская,5лит6,,Левада
870,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299155671/,Краснодар,sale,flat,1,16,1,45.55,5937500,,,,,Спутник
871,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154469/,Краснодар,sale,flat,23,24,1,35.27,5954705,Плодородный-2 мкр, Константиновская,5лит8,,Левада
872,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288432320/,Краснодар,sale,flat,1,24,1,34.6,5982340,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
873,Юг-Инжиниринг,developer,https://krasnodar.cian.ru/sale/flat/298247517/,Краснодар,sale,flat,18,18,1,38.46,5922840,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
874,ЧФК,representative_developer,https://krasnodar.cian.ru/sale/flat/276644109/,Краснодар,sale,flat,2,8,1,44.2,5922800,,,,,ЮГГЕ
875,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288552055/,Краснодар,sale,flat,1,22,1,40.8,5964960,Прикубанский,шоссе Ближний Западный Обход,2к3,,Отражение
876,БАУИНВЕСТ,developer,https://krasnodar.cian.ru/sale/flat/300747941/,Краснодар,sale,flat,13,24,1,41.43,6046709,Плодородный-2 мкр, Константиновская,5лит6,,Левада
877,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/291324769/,Краснодар,sale,flat,13,24,1,41.43,6046709,Плодородный-2 мкр, Константиновская,5лит6,,Левада
878,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/301922277/,Краснодар,sale,flat,8,9,1,43.02,6022800,,,,,Народные Кварталы
879,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294244252/,Краснодар,sale,flat,13,24,1,41.43,6046709,Плодородный-2 мкр, Константиновская,5лит6,,Левада
880,НВМ,representative_developer,https://krasnodar.cian.ru/sale/flat/301317748/,Краснодар,sale,flat,3,9,1,43.02,6022800,,,,,Народные Кварталы
881,ССК,developer,https://krasnodar.cian.ru/sale/flat/302118522/,Краснодар,sale,flat,4,13,1,45.88,6010280,мкр. РИП,Ростовское шоссе,30/6,,Лучший
882,ССК,developer,https://krasnodar.cian.ru/sale/flat/302121657/,Краснодар,sale,flat,2,16,1,45.31,6026230,,,,,Сегодня
883,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194610/,Краснодар,sale,flat,11,16,1,41.8,6040100,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
884,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195651/,Краснодар,sale,flat,14,16,1,41.6,6011200,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
885,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259282/,Краснодар,sale,flat,5,16,1,41.8,6040100,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
886,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298332245/,Краснодар,sale,flat,2,22,1,39.6,6031080,,,,,Достояние
887,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285645/,Краснодар,sale,flat,-1,-1,-1,1.0,6025800,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
888,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301379086/,Краснодар,sale,flat,5,9,1,43.02,6022800,,,,,Народные Кварталы
889,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154399/,Краснодар,sale,flat,13,24,1,39.69,6046709,Плодородный-2 мкр, Константиновская,5лит8,,Левада
890,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/300086312/,Краснодар,sale,flat,3,9,1,40.01,6001500,мкр. Калинино, Имени Генерала Брусилова,5лит1.1,,Зеленая территория
891,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293523592/,Краснодар,sale,flat,4,9,1,41.8,6077720,,,,,Парк Победы - 2
892,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/297084976/,Краснодар,sale,flat,14,16,1,42.2,6097900,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
893,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195289/,Краснодар,sale,flat,15,16,1,42.15,6090675,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
894,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/291324923/,Краснодар,sale,flat,22,24,1,41.51,6084710,Плодородный-2 мкр, Константиновская,5лит6,,Левада
895,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294244301/,Краснодар,sale,flat,21,24,1,41.51,6084710,Плодородный-2 мкр, Константиновская,5лит6,,Левада
896,Семья,developer,https://krasnodar.cian.ru/sale/flat/298780912/,Краснодар,sale,flat,8,9,1,39.31,6093050,мкр. Калинино, Имени Б.С. Кудухова,,,Друзья
897,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294359347/,Краснодар,sale,flat,3,16,1,39.9,6064800,,,,,Cармат
898,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154990/,Краснодар,sale,flat,20,21,1,35.02,6093480,Прикубанский,бульвар Адмиралтейский,1,,Эстет
899,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298785060/,Краснодар,sale,flat,5,9,1,39.31,6093050,мкр. Калинино, Имени Б.С. Кудухова,,,Друзья
900,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194667/,Краснодар,sale,flat,12,16,1,42.2,6097900,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
901,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259182/,Краснодар,sale,flat,12,16,1,42.05,6076225,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
902,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280421002/,Краснодар,sale,flat,4,16,1,42.15,6090675,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
903,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299160186/,Краснодар,sale,flat,4,15,1,47.42,6069760,мкр. РИП,Ростовское шоссе,30/6,,Лучший
904,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285632/,Краснодар,sale,flat,-1,-1,-1,1.0,6066900,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
905,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301379106/,Краснодар,sale,flat,7,9,1,43.53,6094200,,,,,Народные Кварталы
906,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/293771495/,Краснодар,sale,flat,4,9,1,43.44,6081600,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
907,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301670516/,Краснодар,sale,flat,4,9,1,43.53,6094200,,,,,Народные Кварталы
908,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/301922238/,Краснодар,sale,flat,4,9,1,43.53,6094200,,,,,Народные Кварталы
909,НВМ,representative_developer,https://krasnodar.cian.ru/sale/flat/301317801/,Краснодар,sale,flat,2,9,1,43.53,6094200,,,,,Народные Кварталы
910,123 Регион,representative_developer,https://krasnodar.cian.ru/sale/flat/301223046/,Краснодар,sale,flat,20,20,1,40.5,6054750,мкр. ХБК,Уральская ,100,,Альфа
911,БАУИНВЕСТ,developer,https://krasnodar.cian.ru/sale/flat/300748010/,Краснодар,sale,flat,21,24,1,41.51,6084710,Плодородный-2 мкр, Константиновская,5лит6,,Левада
912,ФЛАГМАН,developer,https://krasnodar.cian.ru/sale/flat/298055552/,Краснодар,sale,flat,5,9,1,43.44,6081600,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
913,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/295807409/,Краснодар,sale,flat,2,24,1,39.17,6141435,,,,,Микрорайон Любимово
914,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301674270/,Краснодар,sale,flat,10,24,1,39.08,6135338,,,,,Микрорайон Любимово
915,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288551980/,Краснодар,sale,flat,5,22,1,41.5,6129550,Прикубанский,шоссе Ближний Западный Обход,2к3,,Отражение
916,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195491/,Краснодар,sale,flat,10,16,1,42.55,6148475,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
917,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280419754/,Краснодар,sale,flat,9,16,1,42.55,6148475,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
918,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301656330/,Краснодар,sale,flat,4,16,1,37.8,6142500,,,,,Дыхание
919,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/287971319/,Краснодар,sale,flat,8,16,1,37.8,6142500,,,,,Дыхание
920,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294667084/,Краснодар,sale,flat,2,24,1,37.55,6110887,мкр. РИП,Российская ,,,Гулливер
921,ФЛАГМАН,developer,https://krasnodar.cian.ru/sale/flat/298055781/,Краснодар,sale,flat,3,9,1,43.69,6116600,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
922,ССК,developer,https://krasnodar.cian.ru/sale/flat/302121763/,Краснодар,sale,flat,1,12,1,46.57,6100670,,,,,Сегодня
923,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/287970563/,Краснодар,sale,flat,10,16,1,37.8,6142500,,,,,Дыхание
924,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194260/,Краснодар,sale,flat,16,16,1,42.5,6141250,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
925,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194674/,Краснодар,sale,flat,6,16,1,42.55,6148475,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
926,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296258881/,Краснодар,sale,flat,12,16,1,42.5,6141250,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
927,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259185/,Краснодар,sale,flat,5,16,1,42.5,6141250,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
928,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280421480/,Краснодар,sale,flat,3,16,1,42.5,6141250,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
929,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298331708/,Краснодар,sale,flat,5,24,1,42.51,6125691,,,,,Достояние
930,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301327034/,Краснодар,sale,flat,-1,-1,-1,1.0,6142000,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
931,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301125923/,Краснодар,sale,flat,1,4,1,44.85,6122025,,,,,Микрорайон Новая Елизаветка
932,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/293771591/,Краснодар,sale,flat,2,9,1,43.69,6116600,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
933,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301653040/,Краснодар,sale,flat,4,8,1,44.69,6122530,,,,,ЮГГЕ
934,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298960488/,Краснодар,sale,flat,2,24,1,42.44,6115604,,,,,Достояние
935,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/298965808/,Краснодар,sale,flat,3,24,1,37.55,6110887,мкр. РИП,Российская ,,,Гулливер
936,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299159748/,Краснодар,sale,flat,23,24,1,34.73,6147210,,,,,Микрорайон Любимово
937,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/294518746/,Краснодар,sale,flat,15,24,1,34.0,6191400,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
938,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299822093/,Краснодар,sale,flat,7,16,1,45.0,6196500,Прикубанский, Анны Ахматовой,,,Dogma park
939,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293456304/,Краснодар,sale,flat,7,16,1,45.0,6196500,Прикубанский, Анны Ахматовой,,,Dogma park
940,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259259/,Краснодар,sale,flat,2,16,1,42.65,6162925,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
941,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285643/,Краснодар,sale,flat,-1,-1,-1,1.0,6150400,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
942,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/293762604/,Краснодар,sale,flat,10,24,1,35.2,6269120,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
943,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/302195269/,Краснодар,sale,flat,8,24,1,39.85,6251389,Прикубанский, Батуринская,10,,Микрорайон Любимово
944,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298797500/,Краснодар,sale,flat,21,24,1,40.3,6293006,,,,,Микрорайон Любимово
945,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300471994/,Краснодар,sale,flat,8,24,1,38.55,6283766,Прикубанский, Батуринская,10,,Микрорайон Любимово
946,Юг-Инжиниринг,developer,https://krasnodar.cian.ru/sale/flat/298248046/,Краснодар,sale,flat,10,18,1,45.56,6287280,Догма Парк мкр, Марины Цветаевой,17к2,,Аксиома
947,AVA,representative_developer,https://krasnodar.cian.ru/sale/flat/301773437/,Краснодар,sale,flat,1,12,1,40.5,6265350,мкр. 9-й километр, Ярославская,115лит3,,Небо
948,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300862634/,Краснодар,sale,flat,1,4,1,44.85,6244466,,,,,Микрорайон Новая Елизаветка
949,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/287971454/,Краснодар,sale,flat,3,16,1,38.5,6256250,,,,,Дыхание
950,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154219/,Краснодар,sale,flat,3,24,1,37.14,6282428,Плодородный-2 мкр, Константиновская,5лит8,,Левада
951,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/298229363/,Краснодар,sale,flat,2,18,1,42.4,6220080,Карасунский, Виктора Казанцева,,,Первое место
952,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195272/,Краснодар,sale,flat,11,16,1,43.0,6213500,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
953,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195659/,Краснодар,sale,flat,4,16,1,43.5,6285750,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
954,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259240/,Краснодар,sale,flat,13,16,1,43.55,6292975,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
955,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280419983/,Краснодар,sale,flat,11,16,1,43.5,6285750,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
956,ССК,developer,https://krasnodar.cian.ru/sale/flat/302118685/,Краснодар,sale,flat,5,15,1,49.29,6210540,мкр. РИП,Ростовское шоссе,30/7,,Лучший
957,ССК,developer,https://krasnodar.cian.ru/sale/flat/302118638/,Краснодар,sale,flat,4,15,1,49.78,6272280,мкр. РИП,Ростовское шоссе,30/7,,Лучший
958,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301908368/,Краснодар,sale,flat,8,8,1,45.97,6297890,,,,,ЮГГЕ
959,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299781481/,Краснодар,sale,flat,5,9,1,42.61,6267931,,,,,Европа-Сити
960,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299156593/,Краснодар,sale,flat,18,23,1,39.3,6287120,,,,,Сказка град
961,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/300729087/,Краснодар,sale,flat,6,18,1,42.3,6216831,Прикубанский, Петра Феленкова,,,Архитектор
962,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299155458/,Краснодар,sale,flat,13,21,1,35.8,6229200,Прикубанский,бульвар Адмиралтейский,1,,Эстет
963,Европея,developer,https://krasnodar.cian.ru/sale/flat/300834234/,Краснодар,sale,flat,1,9,1,42.61,6255148,,,,,Европа-Сити
964,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288321984/,Краснодар,sale,flat,24,24,1,31.8,6213720,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
965,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297461325/,Краснодар,sale,flat,23,24,1,39.36,6330229,,,,,Микрорайон Любимово
966,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297462248/,Краснодар,sale,flat,2,24,1,41.53,6324604,,,,,Микрорайон Любимово
967,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301806469/,Краснодар,sale,flat,7,24,1,39.25,6312538,,,,,Микрорайон Любимово
968,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298797629/,Краснодар,sale,flat,13,24,1,39.45,6344704,,,,,Микрорайон Любимово
969,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/297463958/,Краснодар,sale,flat,19,24,1,39.27,6315755,,,,,Микрорайон Любимово
970,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294582876/,Краснодар,sale,flat,12,24,1,41.04,6327218,,,,,Микрорайон Любимово
971,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/289472635/,Краснодар,sale,flat,1,24,1,38.9,6317360,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
972,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/301922276/,Краснодар,sale,flat,7,9,1,45.27,6337800,,,,,Народные Кварталы
973,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298331227/,Краснодар,sale,flat,10,19,1,45.75,6320363,,,,,Губернский
974,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194982/,Краснодар,sale,flat,4,16,1,43.85,6336325,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
975,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195070/,Краснодар,sale,flat,4,16,1,43.8,6329100,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
976,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280421078/,Краснодар,sale,flat,9,16,1,43.9,6343550,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
977,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280420543/,Краснодар,sale,flat,2,16,1,43.9,6343550,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
978,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301670525/,Краснодар,sale,flat,5,9,1,45.27,6337800,,,,,Народные Кварталы
979,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298960868/,Краснодар,sale,flat,2,18,1,42.04,6346779,Прикубанский, Наставников,,,Архитектор
980,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285588/,Краснодар,sale,flat,-1,-1,-1,1.0,6346620,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
981,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301379122/,Краснодар,sale,flat,9,9,1,45.27,6337800,,,,,Народные Кварталы
982,НВМ,representative_developer,https://krasnodar.cian.ru/sale/flat/301317646/,Краснодар,sale,flat,8,9,1,45.27,6337800,,,,,Народные Кварталы
983,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/298965531/,Краснодар,sale,flat,11,24,1,39.41,6332399,мкр. РИП,Российская ,,,Гулливер
984,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294666109/,Краснодар,sale,flat,12,24,1,39.41,6332399,мкр. РИП,Российская ,,,Гулливер
985,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/301251485/,Краснодар,sale,flat,12,24,1,38.45,6354939,Прикубанский, Батуринская,10,,Микрорайон Любимово
986,AVA,developer,https://krasnodar.cian.ru/sale/flat/301515158/,Краснодар,sale,flat,22,23,1,39.13,6362538,мкр. КСК,Уральская ,87/7,,URAL
987,AVA,representative_developer,https://krasnodar.cian.ru/sale/flat/301773319/,Краснодар,sale,flat,1,12,1,40.5,6382800,мкр. 9-й километр, Ярославская,115лит4,,Небо
988,AVA,representative_developer,https://krasnodar.cian.ru/sale/flat/301770419/,Краснодар,sale,flat,23,23,1,39.13,6362538,мкр. КСК,Уральская ,87/7,,URAL
989,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297465955/,Краснодар,sale,flat,20,23,1,39.9,6377280,,,,,Сказка град
990,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299156392/,Краснодар,sale,flat,8,23,1,39.9,6377280,,,,,Сказка град
991,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298978646/,Краснодар,sale,flat,13,24,1,38.33,6356264,мкр. РИП,Российская ,,,Гулливер
992,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298972243/,Краснодар,sale,flat,10,24,1,38.33,6356264,мкр. РИП,Российская ,,,Гулливер
993,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/301804916/,Краснодар,sale,flat,22,24,1,39.94,6423510,,,,,Микрорайон Любимово
994,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297461840/,Краснодар,sale,flat,13,24,1,41.29,6447599,,,,,Микрорайон Любимово
995,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/301677512/,Краснодар,sale,flat,19,24,1,38.8,6499970,Прикубанский, Батуринская,10,,Микрорайон Любимово
996,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/301168197/,Краснодар,sale,flat,16,24,1,41.29,6485792,Прикубанский, Батуринская,10,,Микрорайон Любимово
997,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300236679/,Краснодар,sale,flat,17,24,1,40.3,6400043,Прикубанский, Батуринская,10,,Микрорайон Любимово
998,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301674237/,Краснодар,sale,flat,20,24,1,40.96,6463979,,,,,Микрорайон Любимово
999,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301674001/,Краснодар,sale,flat,19,24,1,41.21,6435106,,,,,Микрорайон Любимово
1000,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301673724/,Краснодар,sale,flat,22,24,1,38.8,6475138,Прикубанский, Батуринская,10,,Микрорайон Любимово
1001,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298796910/,Краснодар,sale,flat,21,24,1,40.96,6435019,,,,,Микрорайон Любимово
1002,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/300948508/,Краснодар,sale,flat,23,24,1,38.8,6475138,Прикубанский, Батуринская,10,,Микрорайон Любимово
1003,AVA,developer,https://krasnodar.cian.ru/sale/flat/301513068/,Краснодар,sale,flat,1,12,1,41.9,6481930,мкр. 9-й километр, Ярославская,115лит3,,Небо
1004,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195580/,Краснодар,sale,flat,5,16,1,44.7,6459150,Прикубанский, Кирилла Россинского,3/2,,Хорошая погода
