,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
2475,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301892208/,Краснодар,sale,flat,12,16,2,53.37,7965978,,,,,Cармат
2476,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/296590164/,Краснодар,sale,flat,3,18,2,66.6,7992000,Карасунский, Имени Виктора Нарыкова,,,Первое место
2477,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/296589772/,Краснодар,sale,flat,5,18,2,65.8,7961800,Карасунский, Имени Виктора Нарыкова,,,Первое место
2478,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294359373/,Краснодар,sale,flat,11,16,2,65.9,7908000,,,,,Cармат
2479,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294242496/,Краснодар,sale,flat,2,16,2,59.04,7970400,,,,,Теплые края
2480,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154678/,Краснодар,sale,flat,16,24,2,56.97,7991974,Плодородный-2 мкр, Константиновская,5лит6,,Левада
2481,БАУИНВЕСТ,developer,https://krasnodar.cian.ru/sale/flat/300747775/,Краснодар,sale,flat,18,25,2,57.4,7991974,,,,,Левада
2482,Семья,developer,https://krasnodar.cian.ru/sale/flat/290058923/,Краснодар,sale,flat,9,16,2,59.04,7970400,,,,,Теплые края
2483,Юг-Инжиниринг,developer,https://krasnodar.cian.ru/sale/flat/298247389/,Краснодар,sale,flat,6,18,2,55.4,7922200,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
2484,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297461257/,Краснодар,sale,flat,24,24,2,62.15,8007282,,,,,Микрорайон Любимово
2485,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298797532/,Краснодар,sale,flat,24,24,2,62.15,8007282,,,,,Микрорайон Любимово
2486,AVA,representative_developer,https://krasnodar.cian.ru/sale/flat/301770413/,Краснодар,sale,flat,9,23,2,71.03,8012184,мкр. КСК,Уральская ,87/7,,URAL
2487,AVA,developer,https://krasnodar.cian.ru/sale/flat/301540147/,Краснодар,sale,flat,1,12,2,58.5,8002800,,,,,Небо
2488,ВКБ-Новостройки,developer,https://krasnodar.cian.ru/sale/flat/299525616/,Краснодар,sale,flat,15,16,2,67.81,8042266,Прикубанский, Имени Героя Советского Союза Николая Воробьева,17,,Квартал №6
2489,Европея,developer,https://krasnodar.cian.ru/sale/flat/296204148/,Краснодар,sale,flat,4,7,2,69.8,8027000,,,,,Европа-Сити
2490,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299154065/,Краснодар,sale,flat,21,24,2,59.23,8037730,,,,,Левада
2491,БАУИНВЕСТ,developer,https://krasnodar.cian.ru/sale/flat/300747399/,Краснодар,sale,flat,6,25,2,59.1,8048593,Плодородный-2 мкр, Константиновская,5лит8,,Левада
2492,Европея,developer,https://krasnodar.cian.ru/sale/flat/300866606/,Краснодар,sale,flat,1,7,2,62.51,8032535,,,,,Европа-Сити
